competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Rui PINTO,5-kilometres,male,POR,834.0,No,0.00082689326,Yes,No,No,Unknown
Riku ANJIMA,5-kilometres,male,JPN,834.0,No,0.00082689326,Yes,No,No,Unknown
Adrian POTTER,5-kilometres,male,AUS,835.0,No,0.00082689326,Yes,No,No,Unknown
Clément DEFLANDRE,5-kilometres,male,BEL,835.0,No,0.00082689326,Yes,No,No,Unknown
Nahuel CARABAÑA,5-kilometres,male,AND,835.0,No,0.00082689326,Yes,No,Yes,Yes
Martin DESMIDT,5-kilometres,male,FRA,835.0,No,0.00082689326,Yes,No,No,Yes
Jinya OZAKI,5-kilometres,male,JPN,835.0,No,0.00082689326,Yes,No,No,Unknown
Hiroto KUDOU,5-kilometres,male,JPN,835.0,No,0.00082689326,Yes,No,No,Unknown
Edward MARKS,5-kilometres,male,AUS,836.0,No,0.00082689326,Yes,No,No,Unknown
Leonard BOR,5-kilometres,male,KEN,836.0,No,0.00082689326,Yes,No,No,Unknown
Arnaud COLLARD,5-kilometres,male,BEL,836.0,No,0.00082689326,Yes,No,No,Unknown
Alex MELLOY,5-kilometres,male,GBR,836.0,No,0.00082689326,Yes,No,No,Unknown
Tommy POWER,5-kilometres,male,GBR,836.0,No,0.00082689326,Yes,No,No,Unknown
Shota YAMAGUCHI,5-kilometres,male,JPN,836.0,No,0.00082689326,Yes,No,No,Unknown
Yuto HANANOKI,5-kilometres,male,JPN,836.0,No,0.00082689326,Yes,No,No,Unknown
Thomas FAFARD,5-kilometres,male,CAN,836.0,No,0.00082689326,Yes,No,No,Unknown
Amine BRAHIMI,5-kilometres,male,ALG,836.0,No,0.00082689326,Yes,No,No,Unknown
Kotaro ITO,5-kilometres,male,JPN,837.0,No,0.00082689326,Yes,No,No,Unknown
Daniel SCHAFFER,5-kilometres,male,USA,837.0,No,0.00082689326,Yes,No,No,Unknown
Morgan BEADLESCOMB,5-kilometres,male,USA,837.0,No,0.00082689326,Yes,No,No,No
Zen KURODA,5-kilometres,male,JPN,837.0,No,0.00082689326,Yes,No,No,Unknown
Isaac Theo HIRSHMAN,5-kilometres,male,GBR,837.0,No,0.00082689326,Yes,No,No,Unknown
Damián VÍCH,5-kilometres,male,CZE,837.0,No,0.00082689326,Yes,No,Unknown,Unknown
Rinta MIYAOKA,5-kilometres,male,JPN,837.0,No,0.00082689326,Yes,No,No,Unknown
Amanuel MESEL,5-kilometres,male,ERI,837.0,No,0.00082689326,Yes,No,No,Unknown
Tuomas HEIKKILÄ,5-kilometres,male,FIN,838.0,No,0.00082689326,Yes,No,No,Unknown
Tanner CHADA,5-kilometres,male,USA,838.0,No,0.00082689326,Yes,No,No,Unknown
Jan FRIŠ,5-kilometres,male,CZE,838.0,No,0.00082689326,Yes,No,Unknown,Unknown
Louis GILAVERT,5-kilometres,male,FRA,838.0,No,0.00082689326,Yes,No,No,Yes
Jeremy DEMPSEY,5-kilometres,male,GBR,838.0,No,0.00082689326,Yes,No,No,Unknown
Rowan MIELL-INGRAM,5-kilometres,male,GBR,838.0,No,0.00082689326,Yes,No,No,Unknown
Aduna BIRUK,5-kilometres,male,ETH,838.0,No,0.00082689326,Yes,No,No,Unknown
Itsuki TAKAISHI,5-kilometres,male,JPN,838.0,No,0.00082689326,Yes,No,No,Unknown
Akito NODA,5-kilometres,male,JPN,838.0,No,0.00082689326,Yes,No,No,Unknown
Joey BERRIATUA,5-kilometres,male,USA,838.0,No,0.00082689326,Yes,No,No,No
Rui SUZUKI,5-kilometres,male,JPN,838.0,No,0.00082689326,Yes,No,No,Unknown
Kamil HERZYK,5-kilometres,male,POL,838.0,No,0.00082689326,Yes,No,No,Unknown
Atsuyuki KODAIRA,5-kilometres,male,JPN,838.0,No,0.00082689326,Yes,No,No,Unknown
Mikoto HAMANAKA,5-kilometres,male,JPN,839.0,No,0.00082689326,Yes,No,No,Unknown
Riku HIROTA,5-kilometres,male,JPN,839.0,No,0.00082689326,Yes,No,No,Unknown
Pablo ALBA,5-kilometres,male,ESP,839.0,No,0.00082689326,Yes,No,No,Unknown
Robin VAN RIEL,5-kilometres,male,NED,839.0,No,0.00082689326,Yes,No,No,Unknown
George WATSON,5-kilometres,male,GBR,839.0,No,0.00082689326,Yes,No,No,Unknown
Joshua LAY,5-kilometres,male,GBR,839.0,No,0.00082689326,Yes,No,No,No
Yuki TAKEI,5-kilometres,male,JPN,839.0,No,0.00082689326,Yes,No,No,Unknown
Daichi SHIBATA,5-kilometres,male,JPN,839.0,No,0.00082689326,Yes,No,No,Unknown
Conall MCCLEAN,5-kilometres,male,IRL,840.0,No,0.00082689326,Yes,No,No,Unknown
Osian PERRIN,5-kilometres,male,GBR,840.0,No,0.00082689326,Yes,No,No,Unknown
Charles BARRETT,5-kilometres,male,AUS,840.0,No,0.00082689326,Yes,No,No,Unknown
Grant FISHER,5000-metres,male,USA,764.09,Yes,0.99987924,No,No,Yes,Yes
Andreas ALMGREN,5000-metres,male,SWE,764.27,Yes,0.99987924,No,No,Yes,Yes
Nico YOUNG,5000-metres,male,USA,765.27,Yes,0.9992907,No,No,Yes,Yes
Biniam MEHARY,5000-metres,male,ETH,765.93,Yes,0.9999734,No,No,No,Unknown
Biniam MEHARY,5000-metres,male,ETH,765.93,Yes,0.9999734,No,No,No,Unknown
Kuma GIRMA,5000-metres,male,ETH,766.41,Yes,0.9999734,No,No,No,Yes
George MILLS,5000-metres,male,GBR,766.59,Yes,0.9999757,No,No,Yes,Yes
